match,team,period,minute,second,shot_location,pass_location,gk_location,under_pressure,play_pattern_id,shot_key_pass_id,shot_type_id,shot_technique_id,shot_outcome_id,shot_body_part_id,players_in_shot_area,shot_first_time,shot_aerial_won,key_pass_height_id,key_pass_body_part_id,key_under_pressure,key_pass_switch,key_pass_cross,key_pass_cut_back,possession_duration,is_goal,shot_x,shot_y,pass_x,pass_y,gk_x,gk_y,distance_to_goal,angle_to_goal,distance_to_goal_squared,angle_to_goal_squared,distance_angle_interaction,keeper_placement_score,key_pass_length,key_pass_angle,possession_bucket,key_pass_length_bucket,key_pass_angle_bucket,xG_pred
Can Vidalet - Sant Just,Sant Just,2,59,21,"97.03,26.78",,"117.94,39.14",False,1,False,87,93,100,38,2,False,False,0,0,False,False,False,False,11.7,0,97.03,26.78,,,117.94,39.14,26.502628171560644,0.26158534115839566,702.3892999999999,0.06842689070895425,6.932699031851799,0.9294503930743595,0.0,0.0,Short Attack,nan,Forward,0.029820334
Can Vidalet - Sant Just,Sant Just,2,61,25,"92.91,49.79",,"118.63,40.86",False,2,False,87,93,96,38,5,True,False,0,0,False,False,False,False,1.03,0,92.91,49.79,,,118.63,40.86,28.804725306796456,0.26029267437435577,829.7122000000002,0.0677522763329544,7.497658984724735,0.9142059167834908,0.0,0.0,Counterattack,nan,Forward,0.04838223
Can Vidalet - Sant Just,Can Vidalet,2,61,37,"109.37,24.38","91.20,49.10","117.94,35.36",False,6,True,87,93,100,38,2,False,False,1,40,False,False,False,False,10.16,0,109.37,24.38,91.2,49.1,117.94,35.36,18.893948766734812,0.24441184488164808,356.9812999999999,0.059737149918450805,4.617904875176995,0.7731284204841864,30.679427960768763,0.2516226917974002,Short Attack,Long,Forward,0.074302636
Can Vidalet - Sant Just,Can Vidalet,2,69,58,"101.14,35.71","33.26,54.59","118.29,38.45",False,6,True,87,93,96,40,3,False,False,3,38,False,True,False,False,11.19,0,101.14,35.71,33.26,54.59,118.29,38.45,19.341760519663147,0.39875842089228075,374.1037,0.15900827823250532,7.7126898820975365,0.7169712139474194,70.45671579061856,0.08963706471922898,Short Attack,Long,Forward,0.0534118
Can Vidalet - Sant Just,Can Vidalet,2,72,1,"93.60,38.11",,"117.94,39.14",False,2,False,87,93,98,38,10,False,False,0,0,False,False,False,False,1.16,0,93.6,38.11,,,117.94,39.14,26.467566945225627,0.2992657435025683,700.5321000000002,0.08955998523414499,7.920836100566947,0.822324053822851,0.0,0.0,Counterattack,nan,Forward,0.078534566
Can Vidalet - Sant Just,Can Vidalet,2,74,34,"95.31,13.05",,"117.60,37.42",False,1,False,87,93,98,40,4,False,False,0,0,False,False,False,False,18.48,0,95.31,13.05,,,117.6,37.42,36.54994664838787,0.14854553796123635,1335.8986,0.022065776848193108,5.429331487339264,0.9932982118317032,0.0,0.0,Long Attack,nan,Forward,0.009404217
Can Vidalet - Sant Just,Sant Just,2,85,14,"111.77,54.94","43.20,75.88","117.26,45.67",False,6,True,87,92,97,40,1,False,False,1,40,False,False,False,False,6.84,1,111.77,54.94,43.2,75.88,117.26,45.67,17.056860789723295,0.23504707560269208,290.93649999999997,0.05524712774937765,4.009165247586686,0.9160381844200264,71.69608427243429,0.08548613391212113,Short Attack,Long,Forward,0.526864
Can Vidalet - Sant Just,Sant Just,2,87,56,"111.43,24.72",,"118.63,37.42",False,6,False,87,93,100,38,1,False,False,0,0,False,False,False,False,8.22,0,111.43,24.72,,,118.63,37.42,17.51922658110226,0.23144063315149904,306.9233,0.05356476667356676,4.054660892254879,0.983204167225203,0.0,0.0,Short Attack,nan,Forward,0.22062196
Can Vidalet - Sant Just,Can Vidalet,2,90,48,"112.46,40.52","115.20,66.61","118.29,41.89",False,1,True,87,93,98,37,2,True,False,3,40,False,False,True,False,36.26,0,112.46,40.52,115.2,66.61,118.29,41.89,7.557909763949295,0.9724371080887778,57.12200000000009,0.9456339291880653,7.34959191405079,0.5580325639857145,26.233484328239737,0.053644854523789,Long Attack,Medium,Forward,0.12524746
Can Vidalet - Sant Just,Can Vidalet,2,92,1,"108.34,54.94","64.11,57.34","109.71,53.22",False,1,True,87,93,98,38,1,True,False,2,40,False,False,False,False,13.9,0,108.34,54.94,64.11,57.34,109.71,53.22,18.951495983167128,0.26541408570722397,359.15919999999977,0.07044463689180162,5.029993979156431,0.9945571579102997,44.2950663166904,0.13043819602127044,Short Attack,Long,Forward,0.19712855
Can Vidalet - Sant Just,Can Vidalet,2,92,2,"118.29,41.89",,"106.97,62.49",True,1,False,87,93,97,70,0,True,False,0,0,False,False,False,False,0.25,1,118.29,41.89,,,106.97,62.49,2.5487644065311295,2.177971368848223,6.49619999999998,4.743559283522602,5.551135903364233,0.0,0.0,0.0,Counterattack,nan,Forward,0.6680289
Can Vidalet - Sant Just,Can Vidalet,2,97,14,"93.94,27.12",,"117.94,39.48",False,1,False,87,93,98,38,5,False,False,0,0,False,False,False,False,1.92,0,93.94,27.12,,,117.94,39.48,29.069193315260748,0.24636947728969943,845.0180000000001,0.060697919339999726,7.161761962314015,0.8883560350367135,0.0,0.0,Counterattack,nan,Forward,0.038277987
