match_id,event_file,competition_id,season_id
3749253,open-data-master\data\events\3749253.json,2,44
3749274,open-data-master\data\events\3749274.json,2,44
3749276,open-data-master\data\events\3749276.json,2,44
3749296,open-data-master\data\events\3749296.json,2,44
3749346,open-data-master\data\events\3749346.json,2,44
3749360,open-data-master\data\events\3749360.json,2,44
3749403,open-data-master\data\events\3749403.json,2,44
3749448,open-data-master\data\events\3749448.json,2,44
3749453,open-data-master\data\events\3749453.json,2,44
3749454,open-data-master\data\events\3749454.json,2,44
3749465,open-data-master\data\events\3749465.json,2,44
3749493,open-data-master\data\events\3749493.json,2,44
3749526,open-data-master\data\events\3749526.json,2,44
3749528,open-data-master\data\events\3749528.json,2,44
3749552,open-data-master\data\events\3749552.json,2,44
3749603,open-data-master\data\events\3749603.json,2,44
3749631,open-data-master\data\events\3749631.json,2,44
3750180,open-data-master\data\events\3750180.json,43,51
3750200,open-data-master\data\events\3750200.json,16,39
3750234,open-data-master\data\events\3750234.json,116,68
3750240,open-data-master\data\events\3750240.json,16,76
3750244,open-data-master\data\events\3750244.json,35,75
3750245,open-data-master\data\events\3750245.json,35,75
3750248,open-data-master\data\events\3750248.json,87,84
3752619,open-data-master\data\events\3752619.json,16,44
3753972,open-data-master\data\events\3753972.json,2,27
3753973,open-data-master\data\events\3753973.json,2,27
3753974,open-data-master\data\events\3753974.json,2,27
3753976,open-data-master\data\events\3753976.json,2,27
3753977,open-data-master\data\events\3753977.json,2,27
3753978,open-data-master\data\events\3753978.json,2,27
3753979,open-data-master\data\events\3753979.json,2,27
3753980,open-data-master\data\events\3753980.json,2,27
3753982,open-data-master\data\events\3753982.json,2,27
3753983,open-data-master\data\events\3753983.json,2,27
3753984,open-data-master\data\events\3753984.json,2,27
3753985,open-data-master\data\events\3753985.json,2,27
3753987,open-data-master\data\events\3753987.json,2,27
3753988,open-data-master\data\events\3753988.json,2,27
3753989,open-data-master\data\events\3753989.json,2,27
3753990,open-data-master\data\events\3753990.json,2,27
3753992,open-data-master\data\events\3753992.json,2,27
3753993,open-data-master\data\events\3753993.json,2,27
3753994,open-data-master\data\events\3753994.json,2,27
3753997,open-data-master\data\events\3753997.json,2,27
3753998,open-data-master\data\events\3753998.json,2,27
3753999,open-data-master\data\events\3753999.json,2,27
